dirty_inf_name,clean_fishbase_name
Aetomylaeus niehofii,Aetomylaeus nichofii
Ariomma indica,Ariomma indicum
Gadiformes/Gadidae,Boreogadus saida
Chamelea gallina,Chamelea gallina
Clupea pallasii,Clupea pallasii pallasii
Ctenopharyngodon idellus,Ctenopharyngodon idella
Loligo opalescens,Doryteuthis opalescens
Eleutheronema tradactylum,Eleutheronema tetradactylum
Leiognathus splendens,Eubleekeria splendens
Penaeus brasiliensis,Farfantepenaeus brasiliensis
Penaeus brasiliensis/Penaeus paulensis,Farfantepenaeus brasiliensis
Glossogobius giurias,Glossogobius giuris
Strombus galeatus,Lobatus galeatus
Loricariidae,Megalancistrus aculeatus
Megalapsis cordyla,Megalaspis cordyla
Cancer magister,Metacarcinus magister
Valamugil cunnesius,Moolgarda cunnesius
Torpediniformes/Narcinidae,Narcine bancroftii
Ommastrephes bartrami,Ommastrephes bartramii
Oncorhynchus clarki,Oncorhynchus clarkii
Oreochromis =Tilapia spp,Oreochromis niloticus
"Natantia/Palaemonidae, Crangonidae",Palaemon serratus
Leiognathus bindus,Photopectoralis bindus
Pinirampus pinirampu,Pinirampus pirinampu
Protothaca staminea,Protothaca staminea
Ruditapes philippinarum,Ruditapes philippinarum
Salminus maxillosus,Salminus brasiliensis
Salvelinus alpinus,Salvelinus alpinus alpinus
Saxidomus nuttalli,Saxidomus nuttalli
Sepia aculeata,Sepia aculeata
Sepia officinalis,Sepia officinalis
Gadiformes nei/Gadidae,Trisopterus luscus
Acanthuridae,Acanthurus xanthopterus
Anostomidae,Leporinus elongatus
Ariidae,
Asteroidea,
Bivalvia,
Bivalvia/Hiatellidae,
Brachyura,
Callorhinchidae,
Caranx spp,
Carcharhinidae,
Charybdis spp,
Cyclopteridae,
Cynoglossus spp,
Diapterus spp,
Erythrinidae,
Gerres spp,
Gymnura spp.,
Haliotis spp,
Holothurioidea,
Johnius spp,
Loligo duvauceli,
Lophiidae,
Megalancistrus aculeatus,Megalancistrus parananus
Molva spp,
Mullus spp,
Muraenesox spp,
Nemipteridae,
Nemipterus spp,
Octopodidae,
Pectinidae,
Penaeus indicus,
Pleuronectidae,
Plotosus spp.,
Pomadasys spp,
Priacanthus spp,
Prochilodus spp,
Pseudorhombus spp,
Raja spp,
Salmo spp,
Salmonidae,
Scorpaenidae,
Scyliorhinus spp,
Sebastes spp,
Siluroidei,
Sparidae,
Triglidae,
Uranoscopus spp,