fdis,sample,nt,s
0.5035363671147055,1_10,2,10
0.5774516588454532,1_10,3,10
0.5537868201773769,1_10,4,10
0.5855579252651788,1_10,3,10
0.583411258733327,1_10,3,10
0.5389135630021421,1_10,2,10
0.4717005069005572,1_10,3,10
0.46022997610006466,1_10,2,10
0.5833743765754621,1_10,3,10
0.5419570462428196,1_10,2,10
0.5746800151958155,1_10,3,10
0.5650588743503723,1_10,3,10
0.4366062299143244,1_10,2,10
0.5727562816410441,1_10,3,10
0.4987826061091445,1_10,1,10
0.5709981116706799,1_10,4,10
0.5441929577240184,1_10,3,10
0.5373399526537846,1_10,4,10
0.5336342428635149,1_10,2,10
0.5807386170295301,1_10,3,10
0.5912671503205613,1_10,2,10
0.5583679746413972,1_10,2,10
0.5561871310633115,1_10,3,10
0.462478617186164,1_10,3,10
0.5004743828702793,1_10,3,10
0.5514747419890543,1_10,4,10
0.5024827677514051,1_10,2,10
0.5376433922211394,1_10,2,10
0.6134999454393044,1_10,5,10
0.5246985640843032,1_10,2,10
0.5568924730196066,1_10,2,10
0.6037617372705693,1_10,3,10
0.5504941006175523,1_10,2,10
0.5289876805679737,1_10,3,10
0.5049432568870524,1_10,1,10
0.5437701446029248,1_10,3,10
0.5260304178738935,1_10,3,10
0.5830913592403364,1_10,4,10
0.5633097454389816,1_10,3,10
0.5235841781015772,1_10,2,10
0.5618407344951792,1_10,3,10
0.5633207450104563,1_10,4,10
0.5331409715905742,1_10,4,10
0.5876703919729217,1_10,5,10
0.5334778254834313,1_10,4,10
0.589810013217236,1_10,4,10
0.5523888641059952,1_10,2,10
0.5599751309857279,1_10,4,10
0.5475232488978364,1_10,3,10
0.5392410524084243,1_10,4,10
0.6047473101062395,1_10,4,10
0.5631947996369375,1_10,1,10
0.5598477828836871,1_10,2,10
0.5142130594025405,1_10,3,10
0.5882142602395498,1_10,3,10
0.5946710075429822,1_10,3,10
0.5342902598219165,1_10,2,10
0.5625178141687553,1_10,3,10
0.4730458219835797,1_10,1,10
0.47468631382410165,1_10,2,10
0.544938809389774,1_10,4,10
0.5720682884396802,1_10,4,10
0.5475049044186573,1_10,3,10
0.5885419523141802,1_10,4,10
0.44911112874277065,1_10,2,10
0.5886852329341259,1_10,3,10
0.5521108652768439,1_10,4,10
0.5191448265263785,1_10,3,10
0.5523797362519244,1_10,2,10
0.5800036728503661,1_10,4,10
0.46979797092550946,1_10,2,10
0.5470392446556144,1_10,3,10
0.5142130594025408,1_10,3,10
0.48922038501289566,1_10,3,10
0.5472836637389314,1_10,2,10
0.5585844918949969,1_10,3,10
0.536654211619251,1_10,3,10
0.5757861548620455,1_10,2,10
0.5046968605658724,1_10,4,10
0.5341067540030303,1_10,4,10
0.5759330880321476,1_10,4,10
0.5263045838572513,1_10,2,10
0.528785560178368,1_10,3,10
0.471118959969992,1_10,2,10
0.5920941468640284,1_10,3,10
0.5364471940451399,1_10,3,10
0.6037385527537006,1_10,2,10
0.570066651695691,1_10,5,10
0.540596464242755,1_10,4,10
0.6124326708932133,1_10,4,10
0.497390706463744,1_10,2,10
0.5035363671147055,1_10,3,10
0.5765012594071369,1_10,3,10
0.5143799702913449,1_10,2,10
0.532761564629148,1_10,3,10
0.4871256195011512,1_10,4,10
0.5404723670379863,1_10,2,10
0.5491159169373641,1_10,2,10
0.5373067296767942,1_10,3,10
0.5564679914628481,1_10,3,10
0.5767105058789594,1_10,3,10
0.5405964642427549,1_10,4,10
0.4986124710936323,1_10,3,10
0.49452258798259496,1_10,2,10
0.5469653764769917,1_10,3,10
0.4996255035361079,1_10,1,10
0.48206845947201166,1_10,1,10
0.5667566327185604,1_10,2,10
0.4687519764872533,1_10,1,10
0.4736423611133788,1_10,3,10
0.5329254116855705,1_10,2,10
0.49314159243801753,1_10,2,10
0.5076644871907434,1_10,2,10
0.5879672196343873,1_10,3,10
0.5153400761126217,1_10,3,10
0.5676103706006077,1_10,1,10
0.6121982711313823,1_10,3,10
0.5270547930913236,1_10,3,10
0.4761354387811737,1_10,1,10
0.47242639378710083,1_10,3,10
0.6065196387791721,1_10,4,10
0.5724682730934518,1_10,3,10
0.4752201450667345,1_10,3,10
0.5069614461940692,1_10,2,10
0.5652591882356365,1_10,2,10
0.5449203267472731,1_10,3,10
0.5471982246423571,1_10,3,10
0.5289426833578756,1_10,2,10
0.5454907004460808,1_10,4,10
0.5452078694496643,1_10,3,10
0.5554698384037672,1_10,4,10
0.555436287030765,1_10,3,10
0.5146177678820959,1_10,2,10
0.4639946998751142,1_10,2,10
0.5874781473107672,1_10,4,10
0.5074284161206206,1_10,1,10
0.545513992691823,1_10,3,10
0.5085233243789602,1_10,2,10
0.5944152240710393,1_10,3,10
0.5452080274150026,1_10,2,10
0.5706021019621355,1_10,3,10
0.5770567702036689,1_10,3,10
0.5852578867067788,1_10,3,10
0.49170396304620595,1_10,2,10
0.5111353140666061,1_10,2,10
0.5035363671147057,1_10,2,10
0.5992506805540829,1_10,4,10
0.579737935030666,1_10,4,10
0.5439396256533391,1_10,2,10
0.5267701915885138,1_10,2,10
0.5369080626826348,1_10,3,10
0.4443424915521355,1_10,2,10
0.5297288155305016,1_10,2,10
0.5171988895505554,1_10,1,10
0.47280492686309783,1_10,1,10
0.5577889336717023,1_10,2,10
0.5379732524827991,1_10,3,10
0.5039187869987392,1_10,4,10
0.4593720959770396,1_10,2,10
0.5991035870369534,1_10,4,10
0.5634461505615752,1_10,2,10
0.6134801945922705,1_10,4,10
0.5545134353839882,1_10,2,10
0.58275839390734685,1_10,3,10
0.5661547528731071,1_10,3,10
0.5737373351706306,1_10,2,10
0.5186396355014183,1_10,2,10
0.562824728255759,1_10,2,10
0.5406075742239207,1_10,2,10
0.5765788412712721,1_10,3,10
0.5009837889111808,1_10,3,10
0.6066927335684371,1_10,3,10
0.5845793681485337,1_10,4,10
0.5314731220780958,1_10,2,10
0.5725921460345788,1_10,4,10
0.581553260459876,1_10,1,10
0.5361211012428272,1_10,2,10
0.5115699796546139,1_10,3,10
0.5098058601657207,1_10,1,10
0.6179600347752651,1_10,4,10
0.462784080250216,1_10,2,10
0.5612693442666186,1_10,2,10
0.5853991822407523,1_10,4,10
0.5445320053173982,1_10,3,10
0.5112878099084999,1_10,2,10
0.4971938651207588,1_10,2,10
0.5385164911065,1_10,2,10
0.5455544185282973,1_10,3,10
0.5035149509924207,1_10,2,10
0.5858219512287365,1_10,3,10
0.5559441059663567,1_10,3,10
0.5014763305804922,1_10,2,10
0.5361732503754776,1_10,3,10
0.5370150628909384,1_10,2,10
0.5294692459257677,1_10,3,10
0.5583472297663884,1_10,3,10
0.5775644712131394,1_10,4,10
0.4973840522348659,1_10,2,10
0.5550682637825083,1_10,3,10
0.5681354755327105,1_10,3,10
0.5440384925948953,1_10,3,10
0.5398233849939081,1_10,4,10
0.5491286695108049,1_10,3,10
0.5100899387271287,1_10,3,10
0.5430632578508637,1_10,2,10
0.5797520351889223,1_10,4,10
0.6042946690883673,1_10,4,10
0.5563553432048651,1_10,2,10
0.5386593591305396,1_10,2,10
0.5069614461940695,1_10,3,10
0.5601035298312438,1_10,4,10
0.5883878247836144,1_10,3,10
0.564616496443944,1_10,3,10
0.5569073359045846,1_10,3,10
0.5603464541530416,1_10,2,10
0.5757430796255893,1_10,4,10
0.5828636189943404,1_10,4,10
0.5048583696783366,1_10,2,10
0.5212590977978144,1_10,4,10
0.5026453651385474,1_10,3,10
0.5835470592696433,1_10,3,10
0.5799515027614128,1_10,2,10
0.5357786172882348,1_10,3,10
0.46933458897884267,1_10,1,10
0.5390987130525957,1_10,4,10
0.5366325028736686,1_10,4,10
0.609322858112171,1_10,4,10
0.5624009366571812,1_10,2,10
0.5446310302783963,1_10,4,10
0.5651507859776562,1_10,3,10
0.5501730591635134,1_10,1,10
0.5571787432962951,1_10,3,10
0.4507623021661035,1_10,2,10
0.519084187794414,1_10,2,10
0.5071923450504978,1_10,3,10
0.5221967259626793,1_10,2,10
0.47621639677694977,1_10,3,10
0.5088123227874726,1_10,2,10
0.5076257498904078,1_10,2,10
0.5245539052492819,1_10,3,10
0.5374456677098898,1_10,4,10
0.5505049931633051,1_10,4,10
0.5270225345037924,1_10,3,10
0.5792171187424018,1_10,2,10
0.5385239303504451,1_10,2,10
0.5660009140978073,1_10,4,10
0.5939451584031648,1_10,4,10
0.5710254300852193,1_10,2,10
0.4726162585278836,1_10,2,10
0.5712395480424887,1_10,3,10
0.5501369650752781,1_10,3,10
0.573851984406255,1_10,3,10
0.5449725616274195,1_10,2,10
0.6102934022426083,1_10,3,10
0.5145179011528521,1_10,2,10
0.563291688098394,1_10,3,10
0.5986754957192161,1_10,3,10
0.5130796708312692,1_10,2,10
0.5130724925804142,1_10,2,10
0.5007562924387485,1_10,2,10
0.5142130594025408,1_10,3,10
0.5744417405303112,1_10,3,10
0.5467300624902097,1_10,2,10
0.5797878010731387,1_10,3,10
0.540409339745373,1_10,3,10
0.5841408101771934,1_10,3,10
0.48041323042214445,1_10,2,10
0.6017939053550384,1_10,4,10
0.5386273256198421,1_10,2,10
0.5317127781760782,1_10,4,10
0.4999329942210461,1_10,2,10
0.5737989516343742,1_10,4,10
0.5800384887673045,1_10,4,10
0.5864640635206199,1_10,3,10
0.5716359510905362,1_10,4,10
0.5646435065696666,1_10,3,10
0.519953772182593,1_10,3,10
0.5202007491632812,1_10,4,10
0.5586944163876029,1_10,3,10
0.543177516359344,1_10,3,10
0.5399659996426344,1_10,3,10
0.5431055112713231,1_10,1,10
0.5461976847332106,1_10,1,10
0.5297288155305016,1_10,4,10
0.5725244161883642,1_10,3,10
0.5173766688853265,1_10,2,10
0.5402222829483678,1_10,3,10
0.5216205987516725,1_10,2,10
0.5437211648420733,1_10,4,10
0.48651303644147503,1_10,2,10
0.5675309530208296,1_10,3,10
0.5497099278211595,1_10,1,10
0.5487088710062415,1_10,2,10
0.5475152532275771,1_10,2,10
0.539823384993908,1_10,3,10
0.5381583505900254,1_10,2,10
0.5041040884596906,1_10,2,10
0.5351904213846503,1_10,2,10
0.5147415057880744,1_10,4,10
0.583932574399912,1_10,3,10
0.4861934577410135,1_10,3,10
0.4864582803230009,1_10,1,10
0.540553765303454,1_10,3,10
0.5795225986857584,1_10,3,10
0.5703027019757174,1_10,3,10
0.4883032272703412,1_10,1,10
0.5266989809716879,1_10,4,10
0.5671319659825451,1_10,3,10
0.5181740043853852,1_10,2,10
0.509862140724104,1_10,2,10
0.5876581538500891,1_10,2,10
0.49452258798259496,1_10,3,10
0.5709292781388629,1_10,2,10
0.5775644712131388,1_10,4,10
0.5604167380398568,1_10,2,10
0.5130153358730982,1_10,3,10
0.5327850298077392,1_10,4,10
0.5373766672463268,1_10,2,10
0.5494498923603983,1_10,4,10
0.5679761973854239,1_10,3,10
0.5538609638760399,1_10,2,10
0.4895291007578309,1_10,3,10
0.5561209665438153,1_10,2,10
0.5050646187380292,1_10,2,10
0.5650524394782449,1_10,2,10
0.5547596896961775,1_10,3,10
0.5290621732112541,1_10,1,10
0.5448991509514718,1_10,2,10
0.5364098240997033,1_10,3,10
0.5632916880983942,1_10,4,10
0.5612789978283319,1_10,4,10
0.5865811161759545,1_10,3,10
0.4192513382454194,1_10,1,10
0.49506434271868016,1_10,3,10
0.5725161893803811,1_10,2,10
0.5503767156308411,1_10,2,10
0.594134197900196,1_10,1,10
0.5845434744351569,1_10,4,10
0.56887627806462,1_10,2,10
0.5023902114654899,1_10,2,10
0.5772224084832367,1_10,3,10
0.5178658456802725,1_10,3,10
0.5713059990311137,1_10,2,10
0.5505481275428025,1_10,2,10
0.5523497515439202,1_10,2,10
0.6156502281825107,1_10,4,10
0.6093162137613201,1_10,5,10
0.5689360943117983,1_10,2,10
0.48996153677768806,1_10,2,10
0.550130964189941,1_10,2,10
0.5287297374263393,1_10,1,10
0.483087647274989,1_10,2,10
0.5678977147545108,1_10,2,10
0.46111039195799963,1_10,3,10
0.526373292013525,1_10,2,10
0.5599232574081418,1_10,3,10
0.5015544421534561,1_10,3,10
0.5033005892727799,1_10,2,10
0.5510841988821943,1_10,3,10
0.6074552390720361,1_10,3,10
0.5639435045332142,1_10,1,10
0.5327094602089553,1_10,4,10
0.5615338811940027,1_10,2,10
0.5767019859665334,1_10,3,10
0.5371927482576251,1_10,2,10
0.5642501634787034,1_10,2,10
0.41752420019533476,1_10,3,10
0.5928216610716895,1_10,4,10
0.5305313349768055,1_10,3,10
0.5569362821842192,1_10,1,10
0.6114058672111473,1_10,3,10
0.5060334311749364,1_10,2,10
0.5923236605928209,1_10,3,10
0.5069614461940695,1_10,4,10
0.5671498364574948,1_10,2,10
0.5123392653021445,1_10,2,10
0.5904317413307626,1_10,4,10
0.4892383987743273,1_10,3,10
0.5224261824172477,1_10,2,10
0.5386357706064937,1_10,1,10
0.5150281115737061,1_10,2,10
0.5199858353444389,1_10,1,10
0.566267827302487,1_10,2,10
0.5946979693705601,1_10,5,10
0.5231836411570465,1_10,2,10
0.5907985181852081,1_10,3,10
0.5613960236471979,1_10,2,10
0.5662447011770809,1_10,4,10
0.5141221981277951,1_10,1,10
0.5046473102218048,1_10,2,10
0.524082122286187,1_10,2,10
0.4974381830643635,1_10,4,10
0.5051508901681384,1_10,3,10
0.5453286613708714,1_10,3,10
0.4996255035361078,1_10,2,10
0.5387955710831016,1_10,2,10
0.581246462928074,1_10,2,10
0.5491318437418973,1_10,3,10
0.5155538094972989,1_10,4,10
0.5011316179998521,1_10,3,10
0.5651483694502956,1_10,4,10
0.5400380110076926,1_10,3,10
0.4452301889484942,1_10,3,10
0.5679014380258917,1_10,3,10
0.527795759943172,1_10,2,10
0.5498453593788208,1_10,3,10
0.4987557381098953,1_10,3,10
0.5559881683623924,1_10,4,10
0.5039187673624101,1_10,2,10
0.6078575541149085,1_10,3,10
0.5332022806231821,1_10,1,10
0.5764687725504125,1_10,2,10
0.6157247128004739,1_10,4,10
0.5498650166107998,1_10,2,10
0.5619400070861796,1_10,3,10
0.5774228666327221,1_10,3,10
0.4978400340184491,1_10,2,10
0.5564139707298418,1_10,2,10
0.4906879332875319,1_10,4,10
0.4895010093862844,1_10,2,10
0.5617472149444369,1_10,4,10
0.5370220871128991,1_10,3,10
0.5871980029281868,1_10,3,10
0.5976665836255445,1_10,3,10
0.59474077179421,1_10,3,10
0.5838340913462103,1_10,1,10
0.5626336960878017,1_10,2,10
0.5819450309754088,1_10,2,10
0.4834508688577232,1_10,3,10
0.5390987130525957,1_10,2,10
0.5628566225028535,1_10,2,10
0.5263629001259531,1_10,2,10
0.4799583403324318,1_10,3,10
0.5636572222091654,1_10,2,10
0.567579814630991,1_10,4,10
0.5490042634482042,1_10,4,10
0.5617500223059677,1_10,2,10
0.5229694707580638,1_10,1,10
0.5320416388339131,1_10,1,10
0.49040066917578917,1_10,1,10
0.5275794972312915,1_10,2,10
0.567778764507149,1_10,4,10
0.5144936851330091,1_10,3,10
0.5046968605658724,1_10,3,10
0.5145837441350184,1_10,2,10
0.4957258546109193,1_10,2,10
0.5506604680369398,1_10,2,10
0.5910967011189732,1_10,4,10
0.5643400502869964,1_10,1,10
0.5047921171377243,1_10,2,10
0.5797056291126179,1_10,4,10
0.5000414378555189,1_10,3,10
0.5820086136212564,1_10,2,10
