subgroup,species_name,min_percentage,grams_required
crustacean,Carcinus maenus,0.15888888888888889,629.3706293706293
crustacean,Homarus gammarus,0.27999999999999997,357.14285714285717
crustacean,Litopenaeus vannamei,0.20583333333333334,485.82995951417
crustacean,Nephrops norvegicus,0.3721719342857142,268.69301736017144
crustacean,Penaeus monodon,0.21583333333333332,463.3204633204633
crustacean,Portunus pelagicus,0.2611111111111111,382.9787234042553
finfish,Abramis brama,0.18981481481481483,526.8292682926829
finfish,Anabas testudineus,0.13686809749999998,730.6304524324963
finfish,Anarhichas lupus,0.056666666666666664,1764.7058823529412
finfish,Aphanopus carbo,0.05555555555555556,1799.9999999999998
finfish,Boreogadus saida,0.1388888888888889,720.0
finfish,Botia dario,0.96,104.16666666666667
finfish,Carassius carassius,0.47222222222222227,211.76470588235293
finfish,Catla catla,0.37449799999999994,267.0241229592682
finfish,Channa striata,0.05620824,1779.0985805639884
finfish,Chondrostoma nasus,0.45454545454545453,220.0
finfish,Clarias batrachus,0.3984,251.00401606425703
finfish,Coregonus autumnalis,0.1716666666666667,582.5242718446601
finfish,Coregonus clupeaformis,0.14277777777777778,700.3891050583658
finfish,Coregonus lavaretus,0.20185185185185184,495.41284403669727
finfish,Ctenopharyngodon idella,0.12189485,820.3792038794091
finfish,Cyclopterus lumpus,0.07208333333333333,1387.2832369942196
finfish,Cyprinus carpio,0.35833333333333334,279.06976744186045
finfish,Dentex sp.,0.39444444444444443,253.5211267605634
finfish,Eleutheronema tetradactylum,0.30833333333333335,324.3243243243243
finfish,Esox lucius,0.49509643000000003,201.98085451757348
finfish,Gadus macrocephalus,0.09833333333333334,1016.9491525423728
finfish,Gadus morhua,0.06666666666666667,1500.0
finfish,Gasterochisma melampus,0.09166666666666666,1090.909090909091
finfish,Isurus oxyrinchus,0.1,1e3
finfish,Labeo rohita,0.26625,375.5868544600939
finfish,Lamna nasus,0.08333333333333333,1200.0
finfish,Lampris guttatus,0.05,2e3
finfish,Lates calcarifer,0.07333333333333333,1363.6363636363637
finfish,Leuciscus cephalus,0.3333333333333333,300.0
finfish,Leuciscus idus,0.3055555555555556,327.27272727272725
finfish,Liza aurata,0.0575,1739.1304347826085
finfish,Liza parsia,0.55,181.8181818181818
finfish,Lucioperca lucioperca,0.358448,278.9804936838816
finfish,Melanogrammus aeglefinus,0.06111111111111111,1636.3636363636365
finfish,Merlangius merlangus,0.46051889999999995,217.1463538195718
finfish,Merluccius productus,0.08166666666666668,1224.4897959183672
finfish,Microstomus pacificus,0.11851851851851852,843.75
finfish,Mugil cephalus,0.13083333333333333,764.3312101910828
finfish,Mullus surmuletus,0.47447395833333333,210.7597229387809
finfish,Ompok pabda,0.25555555555555554,391.304347826087
finfish,Oncorhynchus gorbuscha,0.24166666666666667,413.7931034482759
finfish,Oncorhynchus mykiss,0.25129999999999997,397.93076004775173
finfish,Oncorhynchus tshawytscha,0.16666666666666666,600.0
finfish,Oncorhyncus spp,0.05,2e3
finfish,Oreochromis niloticus,0.45388721666666665,220.31904915586043
finfish,Pagellus bogaraveo,0.08888888888888889,1125.0
finfish,Pampus argenteus,0.21090646,474.14384557021157
finfish,Pangasianodon hypophthalmus,0.07166666666666667,1395.3488372093022
finfish,Pangasianodon hypophthalmus (juvenile),0.37999999999999995,263.15789473684214
finfish,Parastromateus niger,0.19833333333333333,504.2016806722689
finfish,Patagonotothen ramsayi,0.07195833333333333,1389.6931094383324
finfish,Perca flavescens,0.0038499999999999997,25974.025974025975
finfish,Perca fluviatilis,0.07916666666666668,1263.1578947368419
finfish,Pleuronectes platessa,0.10555555555555556,947.3684210526316
finfish,Pollachius virens,0.08333333333333333,1200.0
finfish,Psetta maxima,0.10909090909090907,916.6666666666669
finfish,Puntius sophore,0.39999999999999997,250.00000000000003
finfish,Rastrelliger kanagurta,0.2525,396.03960396039605
finfish,Salvelinus fontinalis,0.06583333333333333,1518.9873417721521
finfish,Salvelinus namaycush,0.08547619047619047,1169.9164345403901
finfish,Salvelinus naresi,0.075,1333.3333333333335
finfish,Sander lucioperca,0.10555555555555556,947.3684210526316
finfish,Sarda sarda,0.39846527777777774,250.96289583297028
finfish,Sardinella fimbriata,0.42833333333333334,233.46303501945525
finfish,Sardinella sp.,0.040561709999999994,2465.3792949064527
finfish,Sebastes caurinus,0.10833333333333334,923.0769230769231
finfish,Silurus glanis,0.2125,470.5882352941177
finfish,Solea solea,0.28048299,356.52785931867027
finfish,Stenodus leucichthys,0.08333333333333333,1200.0
finfish,Tenualosa ilisha,0.5658630952380952,176.721190764214
finfish,Tenualosa ilisha (juvenile),1.3888888888888888,72.0
finfish,Theragra chalcogramma,0.10305555555555555,970.3504043126685
finfish,Thunnus alalunga,0.15,666.6666666666667
finfish,Thymallus arcticus,0.25833333333333336,387.09677419354836
finfish,Tilapia pra,0.39166696,255.31895771856784
finfish,Tinca tinca,0.37115923,269.4261435987999
finfish,Trachurus trachurus,1.8239494949494945,54.82607949227729
finfish,Xiphias gladius,0.325,307.6923076923077
mollusc,Chamelea gallina,1.106681818181818,90.36020864993634
mollusc,Cipangopaludina chinensis,0.0334248,2991.790526794476
mollusc,Crassostrea rhizophorae,0.1095,913.2420091324201
mollusc,Hexaplex trunculus,6.135555555555555,16.29844259326331
mollusc,Loligo vulgaris,0.10875,919.5402298850574
mollusc,Meretrix lusoria,0.7899833333333334,126.584949049558
mollusc,Mya spp,1.0,100.0
mollusc,Mytilus edulis,0.4625,216.2162162162162
mollusc,Mytilus galloprovincialis,0.4934313725490196,202.66242797536262
mollusc,Octopus vulgaris,0.27291666666666664,366.41221374045807
mollusc,Pomacea canaliculata,0.006679999999999999,14970.059880239523
mollusc,Sepia officinalis,0.20583333333333334,485.82995951417
