species_name,subgroup,mean.CA,mean.ZN,mean.FE,mean.EPA,mean.DHA,RDI.CA,RDI.FE,RDI.ZN,RDI.EPA,RDI.DHA,RDI.micro.tot
Abramis brama,finfish,26.848333333333333,0.5675133333333333,0.3416666666666667,0.09322,0.12087,0.0,0.0,0.0,0.0,0.0,0.0
Amblypharyngodon mola,finfish,1013.9,3.7666666666666666,12.2,94.6,133.3,1.0,1.0,0.0,1.0,1.0,4.0
Anabas testudineus,finfish,168.8,0.75,1.585,0.013686809749999999,0.09482440675,0.0,0.0,0.0,0.0,0.0,0.0
Anarhichas lupus,finfish,6.8,0.78,0.15,0.16104126866666665,0.14857718,0.0,0.0,0.0,0.0,0.0,0.0
Aphanopus carbo,finfish,12.95,0.385,0.1,0.045188149999999996,0.13160337500000002,0.0,0.0,0.0,0.0,0.0,0.0
Boreogadus saida,finfish,43.0,0.37,0.25,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Botia dario,finfish,1300.0,4.0,2.5,0.096,0.12,1.0,0.0,0.0,0.0,0.0,1.0
Carassius carassius,finfish,58.0,0.55,0.8500000000000001,0.07539,0.05026,0.0,0.0,0.0,0.0,0.0,0.0
Carcinus maenus,crustacean,91.55,4.296,0.286,154.0,115.0,0.0,0.0,0.0,1.0,1.0,2.0
Catla catla,finfish,115.4,1.55,0.865,0.0374498,0.0445158,0.0,0.0,0.0,0.0,0.0,0.0
Chamelea gallina,mollusc,222.8145888888889,1.21735,8.189175,0.1436040256,0.129164672,0.0,0.0,0.0,0.0,0.0,0.0
Channa striata,finfish,89.65,0.7,0.4,0.005620824,0.08419735175000001,0.0,0.0,0.0,0.0,0.0,0.0
Chondrostoma nasus,finfish,55.0,0.5,0.95,0.064194,0.096291,0.0,0.0,0.0,0.0,0.0,0.0
Cipangopaludina chinensis,mollusc,1200.0,8.1,4.3,0.00334248,0.003676728,1.0,0.0,1.0,0.0,0.0,2.0
Clarias batrachus,finfish,193.43333333333334,0.78,1.3333333333333335,0.05312,0.03984,0.0,0.0,0.0,0.0,0.0,0.0
Coregonus autumnalis,finfish,20.6,0.75,0.73,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Coregonus clupeaformis,finfish,17.133333333333333,0.4875,0.33666666666666667,0.10600000000000001,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Coregonus lavaretus,finfish,33.519999999999996,0.6088333333333333,0.36333333333333334,0.18614769,0.17853284833333333,0.0,0.0,0.0,0.0,0.0,0.0
Crassostrea madrasensis,mollusc,145.0,0.43,3.7,377.9,383.4,0.0,0.0,0.0,1.0,1.0,2.0
Crassostrea rhizophorae,mollusc,13.14,11.871063,2.39,0.1128395,0.0619544,0.0,0.0,1.0,0.0,0.0,1.0
Ctenopharyngodon idella,finfish,54.0,0.91,0.46,0.012189485,0.05540675,0.0,0.0,0.0,0.0,0.0,0.0
Cyclopterus lumpus,finfish,8.65,0.8865000000000001,0.405,1.6074609933333333,1.6662046273333333,0.0,0.0,0.0,1.0,1.0,2.0
Cyprinus carpio,finfish,117.75,1.4358613333333334,0.616,0.09559298675,30.493186001599998,0.0,0.0,0.0,0.0,1.0,1.0
Dentex sp.,finfish,249.29,0.61166,0.71,0.13979822,0.4284139,0.0,0.0,0.0,0.0,0.0,0.0
Eleutheronema tetradactylum,finfish,37.0,0.9,0.6,0.115452356,0.192550388,0.0,0.0,0.0,0.0,0.0,0.0
Esox lucius,finfish,76.0,0.7806734444444444,1.2261,0.049509643000000006,0.1871504904,0.0,0.0,0.0,0.0,0.0,0.0
Fenneropenaeus indicus,crustacean,429.7,6.09,10.81,84.5,80.6,0.0,1.0,0.0,1.0,1.0,3.0
Gadus macrocephalus,finfish,11.8,0.38393333333333335,0.18,0.054679898,0.144061265,0.0,0.0,0.0,0.0,0.0,0.0
Gadus morhua,finfish,8.7,0.34,0.12,0.0440331636,0.1129974936,0.0,0.0,0.0,0.0,0.0,0.0
Gasterochisma melampus,finfish,11.0,0.5,0.9,0.087873,0.32737,0.0,0.0,0.0,0.0,0.0,0.0
Hexaplex trunculus,mollusc,736.2666666666667,169.0,11.333333333333334,0.644600279,0.734312688,1.0,1.0,1.0,1.0,1.0,5.0
Homarus gammarus,crustacean,35.25,3.3,1.02,0.028,0.178,0.0,0.0,0.0,0.0,0.0,0.0
Isurus oxyrinchus,finfish,12.0,0.4,1.2,0.0253916,0.205086,0.0,0.0,0.0,0.0,0.0,0.0
Katsuwonus pelamis,finfish,206.3,2.8,2.7,52.419776976,0.059421267,0.0,0.0,0.0,1.0,0.0,1.0
Labeo rohita,finfish,31.95,1.15,0.84,0.0366832,0.1238058,0.0,0.0,0.0,0.0,0.0,0.0
Lamna nasus,finfish,10.0,0.4,1.8,0.0310271,0.288873,0.0,0.0,0.0,0.0,0.0,0.0
Lampris guttatus,finfish,6.0,0.3,1.0,0.03002,0.1659,0.0,0.0,0.0,0.0,0.0,0.0
Lates calcarifer,finfish,125.35000000000001,3.33,6.25,77.6071593335,63.845029073999996,0.0,0.0,0.0,1.0,1.0,2.0
Leiognathus splendens,finfish,330.8,2.5,2.2,224.5,226.2,0.0,0.0,0.0,1.0,1.0,2.0
Leuciscus cephalus,finfish,61.5,0.5,0.6,0.074893,0.064194,0.0,0.0,0.0,0.0,0.0,0.0
Leuciscus idus,finfish,60.0,0.55,0.55,0.128231,0.06749,0.0,0.0,0.0,0.0,0.0,0.0
Litopenaeus vannamei,crustacean,24.7,1.47,1.22,9.46,9.99,0.0,0.0,0.0,1.0,1.0,2.0
Liza aurata,finfish,6.9,0.193032,0.16,0.2674728785,0.065987167,0.0,0.0,0.0,0.0,0.0,0.0
Liza parsia,finfish,66.0,0.84,1.3,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.0
Loligo vulgaris,mollusc,13.05,1.26,5.44945,0.16027233533333332,0.38646646133333334,0.0,0.0,0.0,0.0,0.0,0.0
Lucioperca lucioperca,finfish,52.5,0.8,0.7,0.0358448,0.0529336,0.0,0.0,0.0,0.0,0.0,0.0
Melanogrammus aeglefinus,finfish,7.8,0.29,0.11,0.04511886625,0.10775789875,0.0,0.0,0.0,0.0,0.0,0.0
Meretrix lusoria,mollusc,94.798,1.6873333333333334,13.215,0.221,0.3755,0.0,1.0,0.0,0.0,0.0,1.0
Merlangius merlangus,finfish,59.131699999999995,1.35225,5.2246749999999995,0.04605189,0.1720236,0.0,0.0,0.0,0.0,0.0,0.0
Merluccius productus,finfish,9.8,0.35105,0.25,0.069467419,0.118810272,0.0,0.0,0.0,0.0,0.0,0.0
Microstomus pacificus,finfish,14.533333333333333,0.3887666666666667,0.21333333333333335,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Mugil cephalus,finfish,139.79999999999998,3.65,6.800000000000001,0.14950957766666667,0.10808776466666667,0.0,0.0,0.0,0.0,0.0,0.0
Mullus surmuletus,finfish,56.936875,1.7376,7.456275000000001,0.348,0.669,0.0,0.0,0.0,0.0,1.0,1.0
Mya spp,mollusc,172.0,3.9,2.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mytilus edulis,mollusc,55.5,1.3,9.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mytilus galloprovincialis,mollusc,59.21176470588235,2.6741176470588237,4.280588235294117,0.259369262,0.171158012,0.0,0.0,0.0,0.0,0.0,0.0
Neolissochilus hexagonolepis,finfish,1175.0,1.9,2.0,301.8,210.1,1.0,0.0,0.0,1.0,1.0,3.0
Nephrops norvegicus,crustacean,85.9,1.51,2.9629375,0.037217193428571424,0.044664452714285714,0.0,0.0,0.0,0.0,0.0,0.0
Octopus vulgaris,mollusc,32.75,1.77,3.9282,0.05122852083333333,0.08971778983333334,0.0,0.0,0.0,0.0,0.0,0.0
Ompok pabda,finfish,91.0,0.9,0.46,0.068,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Oncorhynchus gorbuscha,finfish,29.0,0.67,0.8,0.2280529975,0.506753245,0.0,0.0,0.0,0.0,0.0,0.0
Oncorhynchus mykiss,finfish,177.64333333333335,0.98,1.4166666666666667,40.762565,112.415598,0.0,0.0,0.0,1.0,1.0,2.0
Oncorhynchus tshawytscha,finfish,26.0,0.44,0.3,0.44,0.55,0.0,0.0,0.0,0.0,0.0,0.0
Oncorhyncus spp,finfish,6.0,0.5,0.9,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Oreochromis niloticus,finfish,339.6666666666667,4.1,1.9533333333333334,0.045388721666666666,0.12584703077777779,0.0,0.0,0.0,0.0,0.0,0.0
Pagellus bogaraveo,finfish,57.333333333333336,0.2916666666666667,0.16,0.018,0.21733333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Pampus argenteus,finfish,26.3,1.08,0.42000000000000004,0.021090646,0.48611367,0.0,0.0,0.0,0.0,0.0,0.0
Pangasianodon hypophthalmus,finfish,8.6,0.65,0.69,0.013,0.037,0.0,0.0,0.0,0.0,0.0,0.0
Pangasianodon hypophthalmus (juvenile),finfish,59.0,1.1,2.7,0.038,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Parastromateus niger,finfish,23.8,1.1,0.8,0.127431626,0.230262552,0.0,0.0,0.0,0.0,0.0,0.0
Patagonotothen ramsayi,finfish,8.635,0.6825,0.3265,0.09713833225,0.26354178325,0.0,0.0,0.0,0.0,0.0,0.0
Penaeus monodon,crustacean,222.6,4.535,9.74,58.54,34.5,0.0,0.0,0.0,1.0,1.0,2.0
Perca flavescens,finfish,2.99,0.135388,0.09,3.85e-4,0.056503323,0.0,0.0,0.0,0.0,0.0,0.0
Perca fluviatilis,finfish,32.47,0.52003575,0.14250000000000002,0.11807202038461538,0.3217574818461538,0.0,0.0,0.0,0.0,0.0,0.0
Perna viridis,mollusc,522.6,1.994,6.3,169.9,158.9,0.0,0.0,0.0,1.0,1.0,2.0
Pleuronectes platessa,finfish,28.0,0.48,0.19,0.174054112,0.158101627,0.0,0.0,0.0,0.0,0.0,0.0
Pollachius virens,finfish,10.0,0.38,0.25,0.07144178949999999,0.21358160199999998,0.0,0.0,0.0,0.0,0.0,0.0
Pomacea canaliculata,mollusc,444.0,6.9,48.0,6.68e-4,7.1e-4,0.0,1.0,1.0,0.0,0.0,2.0
Portunus pelagicus,crustacean,116.375,3.325,0.47000000000000003,0.08911596,0.073990619999999993,0.0,0.0,0.0,0.0,0.0,0.0
Psetta maxima,finfish,30.5,0.12,3.485,0.0941512,0.2685449,0.0,0.0,0.0,0.0,0.0,0.0
Puntius sophore,finfish,906.4666666666667,4.536666666666667,8.7,151.92000000000002,80.893,1.0,0.0,0.0,1.0,1.0,3.0
Rastrelliger kanagurta,finfish,30.3,7.65,3.15,0.193181104,0.5934589,0.0,0.0,1.0,0.0,1.0,2.0
Salvelinus fontinalis,finfish,7.8999999999999995,0.8,0.255,0.16,0.41500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Salvelinus namaycush,finfish,10.257142857142856,0.5428571428571429,0.28714285714285714,0.14666666666666667,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Salvelinus naresi,finfish,9.0,0.5,0.7,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Sander lucioperca,finfish,57.53333333333333,0.6716205,0.19,0.0205856074,0.047166375499999996,0.0,0.0,0.0,0.0,0.0,0.0
Sarda sarda,finfish,47.81583333333333,0.9820833333333333,6.184166666666666,0.32097927333333337,0.15211859533333333,0.0,0.0,0.0,0.0,0.0,0.0
Sardinella fimbriata,finfish,51.4,1.6,1.1,0.11797113,0.46917254,0.0,0.0,0.0,0.0,0.0,0.0
Sardinella longiceps,finfish,523.9,4.0,7.8,937.9,534.9,0.0,0.0,0.0,1.0,1.0,2.0
Sardinella sp.,finfish,398.52,1.56702,1.83,0.004056171,0.032681149,0.0,0.0,0.0,0.0,0.0,0.0
Schizothorax richardsonii,finfish,414.7,2.2,0.6,235.8,93.3,0.0,0.0,0.0,1.0,1.0,2.0
Sebastes caurinus,finfish,13.0,0.31,0.2,0.1911751816,0.313808162,0.0,0.0,0.0,0.0,0.0,0.0
Sepia officinalis,mollusc,24.7,1.77,3.71025,0.1165378896,0.2144767114,0.0,0.0,0.0,0.0,0.0,0.0
Silurus glanis,finfish,25.5,0.7033333333333334,0.6,0.129915196,0.21424307999999997,0.0,0.0,0.0,0.0,0.0,0.0
Solea solea,finfish,63.999925,1.892725,8.595225,0.028048299,0.08718377,0.0,0.0,0.0,0.0,0.0,0.0
Sperata seenghala,finfish,64.1,0.4,1.3,35.2,49.6,0.0,0.0,0.0,1.0,1.0,2.0
Stenodus leucichthys,finfish,10.0,0.3,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Tenualosa ilisha,finfish,71.31,1.4666666666666666,2.033333333333333,152.85,467.405,0.0,0.0,0.0,1.0,1.0,2.0
Tenualosa ilisha (juvenile),finfish,500.0,1.8,2.5,0.43,0.23,0.0,0.0,0.0,0.0,0.0,0.0
Theragra chalcogramma,finfish,12.366666666666667,0.3887,0.19333333333333333,0.049189983666666666,0.10641627733333334,0.0,0.0,0.0,0.0,0.0,0.0
Thunnus alalunga,finfish,18.0,0.5,0.6,0.31654000000000004,0.9108400000000001,0.0,0.0,0.0,0.0,1.0,1.0
Thymallus arcticus,finfish,31.0,0.7,1.0,0.0735,0.18477777777777776,0.0,0.0,0.0,0.0,0.0,0.0
Tilapia pra,finfish,621.6,1.3209,0.83,0.039166696,0.133166766,0.0,0.0,0.0,0.0,0.0,0.0
Tinca tinca,finfish,63.0,1.1,0.8500000000000001,0.037115923,0.07158984,0.0,0.0,0.0,0.0,0.0,0.0
Tor putitora,finfish,116.0,1.3,0.9,201.9,11.5,0.0,0.0,0.0,1.0,1.0,2.0
Trachurus trachurus,finfish,235.20944444444444,2.0063444444444443,7.29,0.27600635242105265,0.565014684,0.0,0.0,0.0,0.0,0.0,0.0
Trichiurus lepturus,finfish,159.7,1.3,1.9,67.77612333333333,189.52835,0.0,0.0,0.0,1.0,1.0,2.0
Xiphias gladius,finfish,39.0,1.3,1.2,0.754083,1.53818,0.0,0.0,0.0,1.0,1.0,2.0
