genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,DK7,NA,50,0.3,0.96,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,SR27,NA,57,0.55,0.67,0.033,0.074,NA,44,Finfish
Gadus macrocephalus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi30,NA,NA,NA,NA,0.054679898,0.144061265,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,10.8,0.2099,0.416,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,11.3,0.165,0.3627,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,13.3,0.1581,0.3731,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,SR27,NA,8,0.16,0.31,0.034,0.096,NA,49,Finfish
Gadus morhua,NA,NA,fi74,NA,NA,NA,NA,0.004089305,0.027430143,NA,50,Finfish
Gadus morhua,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi45,NA,NA,NA,NA,0.028,0.075,NA,50,Finfish
Gadus morhua,NA,NA,fi244,NA,1.6,0.5,0.37,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi146,NA,NA,NA,NA,0.063226,0.152914,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,8.7,0.12,0.34,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,8.2,0.66,4.27,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.05697345,0.129272235,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.057327117,0.14931632,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.073775946,0.18396877,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,15,0.2,0.38,0.132,0.132,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,10,4,1.94,6.41,4.76,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,10,1.5,2.2,0.345,0.575,NA,50,Finfish
Gadus morhua,NA,NA,SR27,NA,16,0.38,0.45,0.064,0.12,NA,50,Finfish
Hippoglossus hippoglossus,NA,NA,fi77,NA,NA,NA,NA,0.016,0.033,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,fi78,NA,NA,NA,NA,NA,NA,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,fi361,NA,4.3,0.18,0.42,0.34,0.5,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,DK7,NA,15,0.5,0.5,0.187,0.272,NA,55,Finfish
Hippoglossus stenolepis,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,56,Finfish
Homarus americanus,NA,NA,fi159,NA,47.3,0.23,2.9,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi159,NA,29.3,2.9,3.1,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi159,NA,17.3,1.2,1.7,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,DK7,NA,48,0.3,4.6,0.251,0.118,NA,57,Crustacean
Homarus americanus,NA,NA,SR27,NA,84,0.26,3.53,0.102,0.068,NA,57,Crustacean
Hypomesus pretious,NA,NA,fi59,NA,NA,NA,NA,0.35548449,0.56855524,NA,60,Finfish
Ictalurus punctatus,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,62,Finfish
Ictalurus punctatus,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,62,Finfish
Ictalurus punctatus,NA,NA,SR27,NA,14,0.3,0.51,0.13,0.234,NA,62,Finfish
Lepidopsetta bilineata,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,65,Finfish
Lepidopsetta bilineata,NA,NA,fi146,NA,NA,NA,NA,0.174717,0.111537,NA,65,Finfish
Lepomis gibbosus,NA,NA,SR27,NA,80,1.2,1.55,0.037,0.072,NA,67,Finfish
Lota lota,NA,NA,fi26,NA,11.5947,0.146668,0.82253,NA,NA,NA,70,Finfish
Lota lota,NA,NA,fi141,NA,NA,NA,NA,NA,NA,NA,70,Finfish
Lota lota,NA,NA,DK7,NA,38,0.4,0.53,NA,NA,NA,70,Finfish
Lota lota,NA,NA,SR27,NA,50,0.9,0.76,0.07,0.096,NA,70,Finfish
Mallotus villosus,NA,NA,fi59,NA,NA,NA,NA,0.36230105,0.45922235,NA,71,Finfish
Mallotus villosus,NA,NA,im11,NA,39,0.16,2.3,NA,NA,NA,71,Finfish
Melanogrammus aeglefinus,NA,NA,fi45,NA,NA,NA,NA,0.018,0.06,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi244,NA,9.2,0.28,0.32,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,7.8,0.11,0.29,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.060220439,0.137400308,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.044520072,0.115993934,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.057734954,0.117637353,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,DK7,NA,18,0.6,0.3,0.129,0.387,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,SR27,NA,11,0.17,0.32,0.042,0.089,NA,72,Finfish
Merluccius productus,NA,NA,fi59,NA,NA,NA,NA,0.069467419,0.118810272,NA,75,Finfish
Merluccius productus,NA,NA,fi125,NA,9.2,0.2579,0.3969,NA,NA,NA,75,Finfish
Merluccius productus,NA,NA,fi125,NA,10.4,0.2437,0.3052,NA,NA,NA,75,Finfish
Merluccius productus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,75,Finfish
Micropogonias undulatus,NA,NA,SR27,NA,15,0.37,0.42,0.123,0.097,NA,78,Finfish
Microstomus pacificus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi36,NA,NA,NA,NA,0.08,0.09,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,11.5,0.1984,0.3428,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,11.9,0.1795,0.3179,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,20.2,0.256,0.5056,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,81,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.108376051,0.137723084,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.116950645,0.127684165,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.109320718,0.092059552,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.153419175,0.2022475,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.030294607,0.039406969,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.202316218,0.217035819,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.144192955,0.0885191,NA,83,Finfish
Morone saxatilis,NA,NA,SR27,NA,15,0.84,0.4,0.169,0.585,NA,83,Finfish
Mugil cephalus,NA,NA,fi98,NA,15.7,0.8,2.2,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi66,NA,NA,NA,NA,0.18973185,0.138955993,NA,84,Finfish
Mugil cephalus,NA,NA,fi67,NA,NA,NA,NA,0.170965683,0.086497201,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,SR27,NA,41,1.02,0.52,0.217,0.108,NA,84,Finfish
Mytilus edulis,NA,NA,DK7,NA,30,7.7,3.4,0.209,0.085,NA,90,Mollusc
Mytilus edulis,NA,NA,SR27,NA,26,3.95,1.6,0.188,0.253,NA,90,Mollusc
Oncorhynchus gorbuscha,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,95,Finfish
Oncorhynchus gorbusha,NA,NA,fi59,NA,NA,NA,NA,0.289409995,0.68509049,NA,95,Finfish
Oncorhynchus gorbusha,NA,NA,fi84,NA,NA,NA,NA,0.166696,0.328416,NA,95,Finfish
Oncorhynchus gorbuscha,NA,NA,SR27,NA,7,0.38,0.39,0.182,0.333,NA,95,Finfish
Oncorhynchus keta,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,96,Finfish
Oncorhynchus keta,NA,NA,SR27,NA,11,0.55,0.47,0.233,0.394,NA,96,Finfish
Oncorhynchus kisutch,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,97,Finfish
Oncorhynchus kisutch,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,97,Finfish
Oncorhynchus kisutch,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,97,Finfish
Oncorhynchus kisutch,NA,NA,SR27,NA,36,0.56,0.41,0.429,0.656,NA,97,Finfish
Oncorhynchus mykiss,NA,NA,fi99,NA,71.33,1.45,NA,0.02513,0.231196,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,fi141,NA,NA,NA,NA,NA,NA,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,DK7,NA,127,0.4,0.48,0.322,1.16,NA,98,Finfish
Oncorhynchus mykiss,NA,NA,SR27,NA,67,0.7,1.08,0.167,0.42,NA,98,Finfish
Oncorhynchus nerka,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,100,Finfish
Oncorhynchus nerka,NA,NA,SR27,NA,10,0.42,0.42,0.348,0.681,NA,100,Finfish
Oncorhynchus tshawytscha,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,101,Finfish
Oncorhynchus tshawytscha,NA,NA,fi36,NA,NA,NA,NA,0.44,0.55,NA,101,Finfish
Oncorhynchus tshawytscha,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,101,Finfish
Oncorhynchus tshawytscha,NA,NA,SR27,NA,26,0.25,0.44,1.008,0.944,NA,101,Finfish
Ophiodon elongatus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,102,Finfish
Ophiodon elongatus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,102,Finfish
Ophiodon elongatus,NA,NA,SR27,NA,14,0.32,0.45,0,0,NA,102,Finfish
Osmerus mordax,NA,NA,SR27,NA,60,0.9,1.65,0.275,0.418,NA,103,Finfish
Ostrea lurida,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,104,Molluscs
Perca flavescens,NA,NA,fi128,NA,2.992,0.086955,0.135388,3.84852e-4,0.056503323,NA,109,Finfish
Perca flavescens,NA,NA,fi141,NA,NA,NA,NA,NA,NA,NA,109,Finfish
Platichthys stellatus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,112,Finfish
Platichthys stellatus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,112,Finfish
Pomatomus saltatrix,NA,NA,fi34,NA,NA,NA,NA,0.034770855,0.28855813,NA,114,Finfish
Pomatomus saltatrix,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,114,Finfish
Pomatomus saltatrix,NA,NA,fi131,NA,NA,NA,NA,0.748,2.5058,NA,114,Finfish
Pomatomus saltatrix,NA,NA,SR27,NA,7,0.48,0.81,0.252,0.519,NA,114,Finfish
Protothaca staminea,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,115,Molluscs
Reinhardtius hippoglossoides,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,121,Finfish
Reinhardtius hippoglossoides,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,121,Finfish
Reinhardtius hippoglossoides,NA,NA,im11,NA,5.9,0.09,0.32,NA,NA,NA,121,Finfish
Reinhardtius hippoglossoides,NA,NA,fi361,NA,5.5,0.1,0.3,0.33,0.36,NA,121,Finfish
Reinhardtius hippoglossoides,NA,NA,DK7,NA,25,0.25,NA,1.07,0.975,NA,121,Finfish
Reinhardtius hippoglossoides,NA,NA,SR27,NA,3,0.66,0.4,0.526,0.393,NA,121,Finfish
Salmo salar,NA,NA,fi45,NA,NA,NA,NA,1.112,2.164,NA,122,Finfish
Salmo salar,NA,NA,fi74,NA,NA,NA,NA,0.459944842,3.23096521,NA,122,Finfish
Salmo salar,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,122,Finfish
Salmo salar,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,122,Finfish
Salmo salar,NA,NA,DK7,NA,20,0.8,1.04,0.713,1.85,NA,122,Finfish
Salmo salar,NA,NA,SR27,NA,12,0.8,0.64,0.321,1.115,NA,122,Finfish
Salmo trutta,NA,NA,fi44,NA,NA,NA,NA,NA,NA,NA,123,Finfish
Salmo trutta,NA,NA,DK7,NA,NA,0.75,0.44,NA,NA,NA,123,Finfish
Salmo trutta,NA,NA,DK7,NA,20,0.7,0.44,NA,NA,NA,123,Finfish
Salvelinus alpinus,NA,NA,fi197,NA,11,0.3,0.4,NA,NA,NA,124,Finfish
Salvelinus alpinus,NA,NA,fi197,NA,7,0.7,0.6,NA,NA,NA,124,Finfish
Salvelinus alpinus,NA,NA,DK7,NA,NA,0.75,0.67,NA,NA,NA,124,Finfish
Salvelinus fontinalis,NA,NA,fi4,NA,12.7,0.33,0.8,NA,NA,NA,125,Finfish
Salvelinus fontinalis,NA,NA,fi4,NA,3.1,0.18,0.8,NA,NA,NA,125,Finfish
Salvelinus malma,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,126,Finfish
Salvelinus namaycush,NA,NA,fi4,NA,3,0.2,0.5,NA,NA,NA,127,Finfish
Scomber scombrus,NA,NA,fi34,NA,NA,NA,NA,0.044521872,0.33062656,NA,130,Finfish
Scomber scombrus,NA,NA,fi45,NA,NA,NA,NA,0.662,1.404,NA,130,Finfish
Scomber scombrus,NA,NA,fi244,NA,4.9,0.48,0.6,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi116,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi116,NA,NA,NA,NA,NA,NA,NA,130,Finfish
Scomber scombrus,NA,NA,fi361,NA,15,0.8,0.62,1.76,2.8,NA,130,Finfish
Scomber scombrus,NA,NA,DK7,NA,15,0.75,0.1,1.22,3.28,NA,130,Finfish
Scomber scombrus,NA,NA,SR27,NA,12,1.63,0.63,0.898,1.401,NA,130,Finfish
Sebastes flavidus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,133,Finfish
Sebastes flavidus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,133,Finfish
Sebastes pinniger,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,135,Finfish
Sebastes pinniger,NA,NA,fi59,NA,NA,NA,NA,0.342824772,0.534559245,NA,135,Finfish
Sebastes pinniger,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,135,Finfish
Sebastes ruberrimus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,136,Finfish
Squalus acanthias,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,142,Finfish
Squalus acanthias,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,142,Finfish
Squalus acanthias,NA,NA,fi42,NA,NA,NA,NA,NA,NA,NA,142,Finfish
Squalus acanthias,NA,NA,DK7,NA,13,1.32,0.52,NA,NA,NA,142,Finfish
Thaleichthys pacificus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,145,Finfish
Thunnus alalunga,NA,NA,fi152,NA,NA,NA,NA,0.33915,0.9625,NA,146,Finfish
Thunnus alalunga,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,146,Finfish
Thunnus alalunga,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,146,Finfish
Thunnus alalunga,NA,NA,fi244,NA,2.9,0.94,0.36,NA,NA,NA,146,Finfish
Thunnus alalunga,NA,NA,fi117,NA,18,0.6,0.5,0.29393,0.85918,NA,146,Finfish
Thunnus alalunga,NA,NA,fi153,NA,NA,NA,NA,NA,NA,NA,146,Finfish
Thunnus alalunga,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,146,Finfish
Thunnus thynnus,NA,NA,fi45,NA,NA,NA,NA,0.035,0.131,NA,147,Finfish
Thunnus thynnus,NA,NA,fi152,NA,NA,NA,NA,0.01337,0.15624,NA,147,Finfish
Thunnus thynnus,NA,NA,fi131,NA,NA,NA,NA,0.22137,1.70973,NA,147,Finfish
Thunnus thynnus,NA,NA,DK7,NA,10,1.5,0.08,NA,NA,NA,147,Finfish
Thunnus thynnus,NA,NA,SR27,NA,8,1.02,0.6,0.283,0.89,NA,147,Finfish
Thymallus arcticus,NA,NA,fi197,NA,31,1,0.7,NA,0.1,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.102,0.22,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.078,0.237,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.06,0.138,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.092,0.157,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.079,0.176,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.078,0.18,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.07,0.228,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.071,0.177,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.072,0.173,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.069,0.163,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.085,0.205,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.046,0.139,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.044,0.11,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.062,0.186,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.081,0.194,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.056,0.167,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.064,0.21,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.064,0.292,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.056,0.158,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.077,0.201,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.072,0.192,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.096,0.285,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.104,0.245,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.092,0.235,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.041,0.121,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.307,0.573,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.454,1.184,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.178,0.57,NA,148,Finfish
Thymallus arcticus,NA,NA,fi186,NA,NA,NA,NA,0.326,0.714,NA,148,Finfish
